Year,Anomaly
1850.0,-0.436
1851.0,-0.321
1852.0,-0.292
1853.0,-0.295
1854.0,-0.283
1855.0,-0.278
1856.0,-0.396
1857.0,-0.538
1858.0,-0.334
1859.0,-0.222
1860.0,-0.378
1861.0,-0.455
1862.0,-0.554
1863.0,-0.313
1864.0,-0.345
1865.0,-0.251
1866.0,-0.211
1867.0,-0.166
1868.0,-0.211
1869.0,-0.218
1870.0,-0.288
1871.0,-0.321
1872.0,-0.285
1873.0,-0.254
1874.0,-0.302
1875.0,-0.346
1876.0,-0.35
1877.0,0.028
1878.0,0.119
1879.0,-0.233
1880.0,-0.299
1881.0,-0.183
1882.0,-0.251
1883.0,-0.304
1884.0,-0.472
1885.0,-0.44
1886.0,-0.464
1887.0,-0.501
1888.0,-0.294
1889.0,-0.173
1890.0,-0.462
1891.0,-0.345
1892.0,-0.406
1893.0,-0.381
1894.0,-0.375
1895.0,-0.314
1896.0,-0.225
1897.0,-0.21
1898.0,-0.412
1899.0,-0.242
1900.0,-0.135
1901.0,-0.211
1902.0,-0.372
1903.0,-0.471
1904.0,-0.527
1905.0,-0.344
1906.0,-0.261
1907.0,-0.432
1908.0,-0.451
1909.0,-0.514
1910.0,-0.473
1911.0,-0.483
1912.0,-0.408
1913.0,-0.38
1914.0,-0.195
1915.0,-0.141
1916.0,-0.377
1917.0,-0.525
1918.0,-0.36
1919.0,-0.295
1920.0,-0.241
1921.0,-0.185
1922.0,-0.271
1923.0,-0.236
1924.0,-0.247
1925.0,-0.202
1926.0,-0.068
1927.0,-0.184
1928.0,-0.175
1929.0,-0.359
1930.0,-0.129
1931.0,-0.068
1932.0,-0.108
1933.0,-0.303
1934.0,-0.154
1935.0,-0.215
1936.0,-0.147
1937.0,0.01
1938.0,0.017
1939.0,-0.004
1940.0,0.077
1941.0,0.034
1942.0,0.044
1943.0,0.099
1944.0,0.202
1945.0,0.074
1946.0,-0.072
1947.0,-0.003
1948.0,-0.097
1949.0,-0.106
1950.0,-0.17
1951.0,0.009
1952.0,0.082
1953.0,0.156
1954.0,-0.041
1955.0,-0.093
1956.0,-0.179
1957.0,0.051
1958.0,0.055
1959.0,0.039
1960.0,-0.019
1961.0,0.055
1962.0,-0.001
1963.0,0.043
1964.0,-0.22
1965.0,-0.102
1966.0,-0.039
1967.0,-0.009
1968.0,-0.085
1969.0,0.062
1970.0,0.015
1971.0,-0.102
1972.0,0.007
1973.0,0.142
1974.0,-0.063
1975.0,0.004
1976.0,-0.092
1977.0,0.238
1978.0,0.113
1979.0,0.187
1980.0,0.309
1981.0,0.359
1982.0,0.143
1983.0,0.323
1984.0,0.157
1985.0,0.153
1986.0,0.209
1987.0,0.349
1988.0,0.391
1989.0,0.277
1990.0,0.464
1991.0,0.453
1992.0,0.245
1993.0,0.302
1994.0,0.351
1995.0,0.509
1996.0,0.397
1997.0,0.537
1998.0,0.687
1999.0,0.445
2000.0,0.445
2001.0,0.579
2002.0,0.673
2003.0,0.655
2004.0,0.568
2005.0,0.732
2006.0,0.682
2007.0,0.697
2008.0,0.569
2009.0,0.706
2010.0,0.777
2011.0,0.668
2012.0,0.688
2013.0,0.705
2014.0,0.779
2015.0,0.923
2016.0,1.059
2017.0,0.962
2018.0,0.888
2019.0,1.024
2020.0,1.049
2021.0,0.895
2022.0,0.936
2023.0,1.229
2024.0,1.311
